table_name;data_type;indicator;lau_level;combination_coverage;ks_test_D;ks_test_p;indicator_mean;indicator_mad;APE_mean;APE_mad;ALE_mean;ALE_mad
results_monthly_table;5% Comp1 data;feature_cnt;0;1.0;0.6666666666666666;1.8068505819845153e-15;330951.9722;151091.0;67.0681;17.6209;0.5121;0.1959
results_monthly_table;5% Comp1 data;feature_cnt;1;1.0;0.38425925925925924;1.8452083863013287e-71;22063.4648;6098.0;72.3775;20.4223;0.5383;0.2256
results_monthly_table;5% Comp1 data;feature_cnt;2;0.9322;0.22837160729814476;1.0416219809202442e-232;2269.1688;467.0;92.6337;20.7082;0.5674;0.247
results_monthly_table;5% Comp1 data;feature_cnt;3;0.3523;0.5491273808233379;0.0;79.0721;8.0;265.8453;49.0871;0.524;0.2535
results_monthly_table;5% Comp1 data;unique_usr_cnt;0;1.0;0.6666666666666666;1.8068505819845153e-15;330951.9722;151091.0;67.0681;17.6209;0.5121;0.1959
results_monthly_table;5% Comp1 data;unique_usr_cnt;1;1.0;0.462037037037037;2.0737293723657855e-104;24120.0574;7783.0;76.4016;16.5067;0.5706;0.1504
results_monthly_table;5% Comp1 data;unique_usr_cnt;2;0.9322;0.237729977392032;2.173909113843762e-252;2952.7017;647.0;99.8641;19.1727;0.6124;0.2423
results_monthly_table;5% Comp1 data;unique_usr_cnt;3;0.3523;0.5704430390252809;0.0;122.6177;12.0;271.5905;45.4361;0.4738;0.241
results_monthly_table;5% Comp1 data;location_cnt;0;1.0;0.6666666666666666;1.8068505819845153e-15;653903.2222;190517.0;79.0187;22.1914;0.6083;0.3162
results_monthly_table;5% Comp1 data;location_cnt;1;1.0;0.46111111111111114;5.626148932930541e-104;43593.5481;8137.5;80.4794;17.3367;0.6082;0.1936
results_monthly_table;5% Comp1 data;location_cnt;2;0.9322;0.23749796061141104;6.842623414400129e-252;4483.4808;649.0;100.6809;19.0554;0.6195;0.2496
results_monthly_table;5% Comp1 data;location_cnt;3;0.3523;0.570330162840496;0.0;156.2604;12.0;271.7308;45.4953;0.4744;0.241
results_monthly_table;5% Comp2 data;feature_cnt;0;1.0;0.3333333333333333;0.0006091753465816681;330951.9722;151091.0;89.8108;35.8521;0.2995;0.1672
results_monthly_table;5% Comp2 data;feature_cnt;1;1.0;0.12407407407407407;1.16200743266882e-07;22063.4648;6098.0;101.7647;40.1027;0.3353;0.2115
results_monthly_table;5% Comp2 data;feature_cnt;2;0.9732;0.031201044872997852;8.165756734990819e-05;2269.1688;467.0;141.0446;38.9353;0.3985;0.2322
results_monthly_table;5% Comp2 data;feature_cnt;3;0.521;0.5191218085295726;0.0;79.0721;8.0;322.1968;70.9677;0.5098;0.273
results_monthly_table;5% Comp2 data;unique_usr_cnt;0;1.0;0.3333333333333333;0.0006091753465816681;330951.9722;151091.0;89.8108;35.8521;0.2995;0.1672
results_monthly_table;5% Comp2 data;unique_usr_cnt;1;1.0;0.125;9.047399434606616e-08;24120.0574;7783.0;124.62;43.6265;0.3598;0.2383
results_monthly_table;5% Comp2 data;unique_usr_cnt;2;0.9732;0.03203088849426511;4.738240886698205e-05;2952.7017;647.0;238.6515;49.8942;0.4868;0.302
results_monthly_table;5% Comp2 data;unique_usr_cnt;3;0.521;0.5704430390252809;0.0;122.6177;12.0;566.9112;75.3652;0.5199;0.2795
results_monthly_table;5% Comp2 data;location_cnt;0;1.0;0.3333333333333333;0.0006091753465816681;653903.2222;190517.0;257.5701;64.6893;0.496;0.3201
results_monthly_table;5% Comp2 data;location_cnt;1;1.0;0.12222222222222222;1.9060315154834014e-07;43593.5481;8137.5;194.607;54.1641;0.4484;0.3217
results_monthly_table;5% Comp2 data;location_cnt;2;0.9732;0.03203088849426511;4.738240886698205e-05;4483.4808;649.0;257.1486;51.3687;0.502;0.3112
results_monthly_table;5% Comp2 data;location_cnt;3;0.521;0.570330162840496;0.0;156.2604;12.0;568.7497;75.5814;0.5208;0.2797
results_monthly_table;5% data;feature_cnt;0;1.0;0.3333333333333333;0.0006091753465816681;330951.9722;151091.0;87.485;34.5718;0.2993;0.1566
results_monthly_table;5% data;feature_cnt;1;1.0;0.13148148148148148;1.488851505706355e-08;22063.4648;6098.0;99.9075;37.6264;0.3357;0.2012
results_monthly_table;5% data;feature_cnt;2;0.9731;0.03223971306109613;4.1224641701991786e-05;2269.1688;467.0;138.7415;37.6909;0.3995;0.228
results_monthly_table;5% data;feature_cnt;3;0.5185;0.5174137592651049;0.0;79.0721;8.0;321.5703;69.3069;0.5123;0.2687
results_monthly_table;5% data;unique_usr_cnt;0;1.0;0.3333333333333333;0.0006091753465816681;330951.9722;151091.0;87.485;34.5718;0.2993;0.1566
results_monthly_table;5% data;unique_usr_cnt;1;1.0;0.13240740740740742;1.1418991924387253e-08;24120.0574;7783.0;123.0009;43.727;0.3615;0.2348
results_monthly_table;5% data;unique_usr_cnt;2;0.9731;0.03437436049161141;9.43159227449326e-06;2952.7017;647.0;236.3322;48.6325;0.4876;0.2978
results_monthly_table;5% data;unique_usr_cnt;3;0.5185;0.5704430390252809;0.0;122.6177;12.0;565.3755;76.0073;0.5219;0.2778
results_monthly_table;5% data;location_cnt;0;1.0;0.3333333333333333;0.0006091753465816681;653903.2222;190517.0;256.7348;64.5011;0.4991;0.318
results_monthly_table;5% data;location_cnt;1;1.0;0.13240740740740742;1.1418991924387253e-08;43593.5481;8137.5;193.1144;53.1875;0.4508;0.3113
results_monthly_table;5% data;location_cnt;2;0.9731;0.03437436049161141;9.43159227449326e-06;4483.4808;649.0;254.8406;50.2979;0.5029;0.3071
results_monthly_table;5% data;location_cnt;3;0.5185;0.570330162840496;0.0;156.2604;12.0;567.1783;76.1391;0.5228;0.2788
